Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Old Town Road,USSM11901941,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,886447622827,63nQw5QNKBUAh4bvqSz3rJ,2019-03-13,Lil Nas X,New Zealand,2,viral,daily,1,2019-03-15,1,0,2019-03-16,"1, 1",https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
11 Minutes (with Halsey feat. Travis Barker),USUG11800795,4mGdjNMo0RonTlOEb7cYg4,"YUNGBLUD, Halsey, Travis Barker","6Ad91Jof8Niiw0lGLLi3NW, 26VFTg2z8YR0cCuwLzESi2, 4exLIFE8sISLr28sqG1qNX",11 Minutes (with Halsey feat. Travis Barker),602577440595,7jY0r3cjoRY6M3IqRb1m7H,2019-02-13,"Locomotion Recordings, Geffen Records",New Zealand,7,viral,daily,2,2019-03-11,2,0,2019-03-16,"3, 2, 2, 2, 2, 2, 2",https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,https://open.spotify.com/album/7jY0r3cjoRY6M3IqRb1m7H,https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW
Murder On My Mind,QMCE31801827,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,I AM YOU,814908026372,7naY6j4wcgUxfHB98G79CW,2018-08-02,,New Zealand,60,viral,daily,1,2019-02-26,3,0,2019-03-16,"39, 25, 22, 18, 17, 17, 28, 25, 21, 21, 22, 22, 20, 31, 16, 23, 24, 21, 20, 20, 23, 23, 35, 36, 36, 38, 39, 36, 24, 18, 16, 8, 8, 5, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Please Me,USAT21811659,0PG9fbaaHFHfre2gUVo7AN,"Cardi B, Bruno Mars","4kYSro6naA4h99UJvo89HB, 0du5cEVh5yTK9QJze8zA0C",Please Me,075679853653,5a4sJJ3qjn6hqRsvm0Veso,2019-02-14,"Atlantic, KSR",New Zealand,7,viral,daily,4,2019-03-12,4,0,2019-03-16,"6, 5, 4, 4, 4, 4, 4",https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,https://open.spotify.com/album/5a4sJJ3qjn6hqRsvm0Veso,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
Don't Call Me Up,GBUM71808052,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),602577411656,0syM7OUAhV7S6XmOa4nLUZ,2019-01-17,Polydor Records,New Zealand,35,viral,daily,3,2019-02-13,5,3,2019-03-16,"8, 7, 5, 3, 3, 3, 4, 3, 3, 5, 5, 6, 6, 6, 5, 5, 5, 4, 3, 3, 3, 5, 5, 5, 5, 8, 9, 9, 8, 11, 9, 6, 5, 8, 5",https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/album/0syM7OUAhV7S6XmOa4nLUZ,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
"Thotiana (feat. Cardi B, YG) [Remix]",USKO11900097,1JkrD47SDpAbyvqKtolcea,"Blueface, Cardi B, YG","3Fl1V19tmjt57oBdxXKAjJ, 4kYSro6naA4h99UJvo89HB, 0A0FS04o6zMoto8OKPsDwY","Thotiana (feat. Cardi B, YG) [Remix]",634164173920,5DjuLFcOMVFgqG972w6fgp,2019-02-17,"Fifth Amendment Entertainment, eOne Music",New Zealand,7,viral,daily,4,2019-03-10,6,1,2019-03-16,"4, 4, 5, 8, 6, 7, 6",https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea,https://open.spotify.com/album/5DjuLFcOMVFgqG972w6fgp,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ
Piece Of Your Heart,DEUM71807719,5p1ex0pXv6jSPJ6QbumQpD,"MEDUZA, Goodboys","0xRXCcSX89eobfrshSVdyu, 2nm38smINjms1LtczR0Cei",Piece Of Your Heart,602577400704,0agqVZjOqVtqHkq3pTFPXb,2019-01-31,Virgin,New Zealand,20,viral,daily,6,2019-03-15,7,-1,2019-03-16,"15, 14, 13, 17, 17, 30, 29, 44, 23, 25, 24, 23, 18, 16, 12, 11, 10, 7, 6, 7",https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD,https://open.spotify.com/album/0agqVZjOqVtqHkq3pTFPXb,https://open.spotify.com/artist/0xRXCcSX89eobfrshSVdyu
Worth It,USUM71821752,4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Worth It,602577381607,6xxdRevqix78TFbWJpO2AO,2019-01-24,Def Jam Recordings,New Zealand,14,viral,daily,4,2019-03-09,8,-3,2019-03-16,"12, 8, 8, 8, 5, 5, 4, 7, 7, 6, 5, 8, 5, 8",https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,https://open.spotify.com/album/6xxdRevqix78TFbWJpO2AO,https://open.spotify.com/artist/7meyrw7Or5DwteYxDJrkCM
i'm so tired...,GBKPL1933763,7COXchtUOMd6uIT6HvmRaI,"Lauv, Troye Sivan","5JZ7CnR6gTvEMKX4g70Amv, 3WGpXCj9YhhfX11TToZcXP",i'm so tired...,5056167111702,13yMsBNa2femeWzhcDOqFw,2019-01-23,Lauv,New Zealand,28,viral,daily,7,2019-02-17,9,1,2019-03-16,"7, 7, 8, 8, 8, 8, 11, 10, 10, 10, 9, 9, 9, 9, 11, 10, 10, 9, 7, 7, 8, 12, 10, 8, 9, 10, 10, 9",https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,https://open.spotify.com/album/13yMsBNa2femeWzhcDOqFw,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv
Mixed Personalities (feat. Kanye West),QMCE31902201,6vWEAOUSxohKxhp0K1BsxL,"YNW Melly, Kanye West","1cNDP5yjU5vjeR8qMf4grg, 5K4W6rqBFWDnAN6FQUkS6x",We All Shine,814908027393,09b9NC1oQbYaHcacgXn66k,2019-01-17,,New Zealand,35,viral,daily,9,2019-02-24,10,8,2019-03-16,"25, 24, 20, 17, 12, 11, 10, 11, 11, 11, 11, 11, 11, 10, 9, 9, 9, 10, 10, 11, 12, 16, 18, 17, 16, 12, 12, 10, 15, 13, 19, 17, 21, 18, 10",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,https://open.spotify.com/album/09b9NC1oQbYaHcacgXn66k,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Talk,USRC11900004,0rTV5WefWd1J3OwIheTzxM,"Khalid, Disclosure","6LuN9FCkKOj5PcnpouEgny, 6nS5roXSAGhTGr34W6n7Et",Talk,886447506318,58kvvQvx6OtLqEDhqYSzyM,2019-02-06,"Right Hand Music Group, RCA Records",New Zealand,14,viral,daily,2,2019-03-03,11,0,2019-03-16,"2, 3, 3, 3, 3, 3, 3, 5, 6, 7, 7, 9, 11, 11",https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,https://open.spotify.com/album/58kvvQvx6OtLqEDhqYSzyM,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
Dissolve,USAT21704522,7pBrj5rt4SSxXwFKOyZfHR,Absofacto,7gAYvcQFmAruyvwGjxrSUr,Thousand Peaces,075679886712,79mdn7airf7jJw1dhV1PCI,2017-11-02,Absofacto,New Zealand,14,viral,daily,9,2019-03-15,12,-3,2019-03-16,"42, 39, 38, 35, 38, 36, 47, 47, 45, 29, 20, 13, 9, 12",https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR,https://open.spotify.com/album/79mdn7airf7jJw1dhV1PCI,https://open.spotify.com/artist/7gAYvcQFmAruyvwGjxrSUr
Con Calma,US2BU1900125,5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow","4VMYDCV2IEDYJArk749S6m, 3uZFBSsMiooimnprFL9jD1",Con Calma,602577433320,1otwHKoQ5KPaiekpYk4tWh,2019-01-23,El Cartel Records (EC3),New Zealand,28,viral,daily,7,2019-02-28,13,2,2019-03-16,"20, 22, 26, 26, 20, 16, 8, 8, 8, 8, 8, 7, 8, 11, 14, 14, 12, 11, 15, 15, 16, 19, 17, 16, 21, 19, 15, 13",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://open.spotify.com/album/1otwHKoQ5KPaiekpYk4tWh,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
Wannabe,TCADF1785646,6SQZ3rR7kNord3KYrom49J,why mona,5C1tex8vm00yFKTitiOnMU,Wannabe,193036756376,5ANR2zRWoxW225Sh0qBccw,2017-08-24,Lowly Palace,New Zealand,24,viral,daily,11,2019-03-14,14,-2,2019-03-16,"46, 37, 36, 25, 23, 15, 23, 32, 24, 24, 33, 23, 33, 30, 28, 39, 30, 23, 32, 37, 13, 11, 12, 14",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,https://open.spotify.com/album/5ANR2zRWoxW225Sh0qBccw,https://open.spotify.com/artist/5C1tex8vm00yFKTitiOnMU
Brown Town Song,QZDA61927788,0n7zjTSJOraGmjXfzTX6NL,Jarrad Wright,6zuuEDpjycpfZtmGgDhRtM,The Big Lez Show Soundtrack,193829516880,1S3p4gE0ItGRNqc07vDxPa,2019-02-11,Records DK,New Zealand,7,viral,daily,9,2019-03-11,15,-2,2019-03-16,"10, 9, 10, 11, 12, 13, 15",https://open.spotify.com/track/0n7zjTSJOraGmjXfzTX6NL,https://open.spotify.com/album/1S3p4gE0ItGRNqc07vDxPa,https://open.spotify.com/artist/6zuuEDpjycpfZtmGgDhRtM
